title,year,cover_date,journal,authors,doi,eid,scopus_id,citedby_count,subtype,description,citations_per_year
"Comprehensive Segmentation of Gray Matter Structures on T1-Weighted Brain MRI: A Comparative Study of Convolutional Neural Network, Convolutional Neural Network Hybrid-Transformer or -Mamba Architectures",2025,2025-04-01,American Journal of Neuroradiology,Wei Y.,10.3174/ajnr.A8544,2-s2.0-105002789469,SCOPUS_ID:105002789469,7,Article,,3.5
External Validation of a Winning Artificial Intelligence Algorithm from the RSNA 2022 Cervical Spine Fracture Detection Challenge,2025,2025-09-01,American Journal of Neuroradiology,Harper J.P.,10.3174/ajnr.A8715,2-s2.0-105015085855,SCOPUS_ID:105015085855,6,Article,,3.0
Application of Deep Learning Accelerated Image Reconstruction in T2-Weighted Turbo Spin-Echo Imaging of the Brain at 7T,2025,2025-07-01,American Journal of Neuroradiology,Liu Z.,10.3174/ajnr.A8662,2-s2.0-105009495111,SCOPUS_ID:105009495111,6,Article,,3.0
Deep Learning-Based ASPECTS Algorithm Enhances Reader Performance and Reduces Interpretation Time,2025,2025-03-01,American Journal of Neuroradiology,Ayobi A.,10.3174/ajnr.A8491,2-s2.0-86000673300,SCOPUS_ID:86000673300,6,Article,,3.0
Automated Idiopathic Normal Pressure Hydrocephalus Diagnosis via Artificial Intelligence–Based 3D T1 MRI Volumetric Analysis,2025,2025-01-01,American Journal of Neuroradiology,Lee J.,10.3174/ajnr.A8489,2-s2.0-85214709019,SCOPUS_ID:85214709019,6,Article,,3.0
World’s First Real-Time Artificial Intelligence–Assisted Mechanical Thrombectomy for Acute Ischemic Stroke,2025,2025-08-01,American Journal of Neuroradiology,Hirose E.,10.3174/ajnr.A8704,2-s2.0-105012272139,SCOPUS_ID:105012272139,5,Article,,2.5
Ultra-High-Resolution Photon-Counting-Detector CT with a Dedicated Denoising Convolutional Neural Network for Enhanced Temporal Bone Imaging,2025,2025-06-01,American Journal of Neuroradiology,Chang S.,10.3174/ajnr.A8572,2-s2.0-105007280705,SCOPUS_ID:105007280705,5,Article,,2.5
DANTE-CAIPI Accelerated Contrast-Enhanced 3D T1: Deep Learning–Based Image Quality Improvement for Vessel Wall MRI,2025,2025-01-01,American Journal of Neuroradiology,Kharaji M.,10.3174/ajnr.A8424,2-s2.0-85215145116,SCOPUS_ID:85215145116,5,Article,,2.5
"Combinations of Clinical Factors, CT Signs, and Radiomics for Differentiating High-Density Areas after Mechanical Thrombectomy in Patients with Acute Ischemic Stroke",2025,2025-01-01,American Journal of Neuroradiology,Zhai D.,10.3174/ajnr.A8434,2-s2.0-85215145292,SCOPUS_ID:85215145292,5,Article,,2.5
Deep Learning Reconstruction for 7T MP2RAGE and SPACE MRI: Improving Image Quality at High Acceleration Factors,2025,2025-11-01,American Journal of Neuroradiology,Liu Z.,10.3174/ajnr.A8841,2-s2.0-105020727805,SCOPUS_ID:105020727805,4,Article,,2.0
3D MR Neurography of Craniocervical Nerves: Comparing Double-Echo Steady-State and Postcontrast STIR with Deep Learning–Based Reconstruction at 1.5T,2025,2025-09-01,American Journal of Neuroradiology,Ensle F.,10.3174/ajnr.A8750,2-s2.0-105015315228,SCOPUS_ID:105015315228,4,Article,,2.0
Optimization of Photon-Counting CT Myelography for the Detection of CSF-Venous Fistulas Using Convolutional Neural Network Denoising: A Comparative Analysis of Reconstruction Techniques,2025,2025-08-01,American Journal of Neuroradiology,Madhavan A.A.,10.3174/ajnr.A8695,2-s2.0-105012285970,SCOPUS_ID:105012285970,4,Article,,2.0
Improving the Robustness of Deep Learning Models in Predicting Hematoma Expansion from Admission Head CT,2025,2025-07-01,American Journal of Neuroradiology,Tran A.T.,10.3174/ajnr.A8650,2-s2.0-105009637404,SCOPUS_ID:105009637404,4,Article,,2.0
Empowering Data Sharing in Neuroscience: A Deep Learning Deidentification Method for Pediatric Brain MRIs,2025,2025-05-01,American Journal of Neuroradiology,Familiar A.M.,10.3174/ajnr.A8581,2-s2.0-105004697120,SCOPUS_ID:105004697120,4,Article,,2.0
Development and Evaluation of Automated Artificial Intelligence–Based Brain Tumor Response Assessment in Patients with Glioblastoma,2025,2025-05-01,American Journal of Neuroradiology,Zhang J.,10.3174/ajnr.A8580,2-s2.0-105004682614,SCOPUS_ID:105004682614,3,Article,,1.5
CT-Based Intrathrombus and Perithrombus Radiomics for Prediction of Prognosis after Endovascular Thrombectomy: A Retrospective Study across 2 Centers,2025,2025-04-01,American Journal of Neuroradiology,Minda L.,10.3174/ajnr.A8522,2-s2.0-105002606255,SCOPUS_ID:105002606255,3,Article,,1.5
Deep Learning–Based Prediction of PET Amyloid Status Using MRI,2025,2025-12-01,American Journal of Neuroradiology,Kim D.,10.3174/ajnr.A8899,2-s2.0-105023888297,SCOPUS_ID:105023888297,2,Article,,1.0
Severity Classification of Pediatric Spinal Cord Injuries Using Structural MRI Measures and Deep Learning: A Comprehensive Analysis across All Vertebral Levels,2025,2025-10-01,American Journal of Neuroradiology,Sadeghi-Adl Z.,10.3174/ajnr.A8770,2-s2.0-105018032512,SCOPUS_ID:105018032512,2,Article,,1.0
"Accuracy of an nnUNet Neural Network for the Automatic Segmentation of Intracranial Aneurysms, Their Parent Vessels, and Major Cerebral Arteries from MRI-TOF",2025,2025-05-01,American Journal of Neuroradiology,Colombo E.,10.3174/ajnr.A8607,2-s2.0-105004700397,SCOPUS_ID:105004700397,2,Article,,1.0
Data-Driven Prognostication in Distal Medium Vessel Occlusions Using Explainable Machine Learning,2025,2025-04-01,American Journal of Neuroradiology,Karabacak M.,10.3174/ajnr.A8547,2-s2.0-105002321274,SCOPUS_ID:105002321274,2,Article,,1.0
Radiomics-Based Differentiation of Glioblastoma and Metastatic Disease: Impact of Different T1-Contrast-Enhanced Sequences on Radiomics Features and Model Performance,2025,2025-02-01,American Journal of Neuroradiology,Bathla G.,10.3174/ajnr.A8470,2-s2.0-85214533163,SCOPUS_ID:85214533163,2,Article,,1.0
Artificial Intelligence–Driven Detection of Large Vessel Occlusions on NCCT: A Multi-Institutional Study,2025,2025-12-01,American Journal of Neuroradiology,Rai A.T.,10.3174/ajnr.A8923,2-s2.0-105023849659,SCOPUS_ID:105023849659,1,Article,,0.5
FDG-PET Intensity Normalization Improves Radiomics-Based Survival Prediction in Patients with Oropharyngeal Cancer: A Comparison of the Standardized Uptake Value with Alternative Normalization Techniques,2025,2025-11-01,American Journal of Neuroradiology,Payabvash S.,10.3174/ajnr.A8836,2-s2.0-105020819401,SCOPUS_ID:105020819401,1,Article,,0.5
Delineation of the Centromedian Nucleus for Epilepsy Neuromodulation Using Deep Learning Reconstruction of White Matter–Nulled Imaging,2025,2025-09-01,American Journal of Neuroradiology,Ryan M.V.,10.3174/ajnr.A8766,2-s2.0-105015077294,SCOPUS_ID:105015077294,1,Article,,0.5
Deep Learning-Based Reconstruction for Accelerated Cervical Spine MRI: Utility in the Evaluation of Myelopathy and Degenerative Diseases,2025,2025-04-01,American Journal of Neuroradiology,Koo S.J.,10.3174/ajnr.A8567,2-s2.0-105002297137,SCOPUS_ID:105002297137,1,Article,,0.5
