eid,scopus_id,doi,title,year,cover_date,first_author,citedby_count,subtype,volume,issue,page_range
2-s2.0-105026690003,105026690003,10.3174/ajnr.A8939,Constructing a Predictive Model for Children with Autism Spectrum Disorder Based on Whole-Brain MR Radiomics: A Machine Learning Study,2026,2026-01-01,Chen X.,1,Article,47,1,109-116
2-s2.0-105026734702,105026734702,10.3174/ajnr.A8912,Predicting 10-Year Clinical Outcomes in MS with Radiomics-Based Machine Learning Models,2026,2026-01-01,Tranfa M.,2,Article,47,1,100-108
2-s2.0-105023899809,105023899809,10.3174/ajnr.A8897,Assessing the Accuracy of Artificial Intelligence in Detecting Intracranial Aneurysms in a Clinical Setting Relative to Neuroradiologists,2025,2025-12-01,Akinpelu B.J.,0,Article,46,12,2545-2552
2-s2.0-105023849659,105023849659,10.3174/ajnr.A8923,Artificial Intelligence–Driven Detection of Large Vessel Occlusions on NCCT: A Multi-Institutional Study,2025,2025-12-01,Rai A.T.,2,Article,46,12,2528-2534
2-s2.0-105023870162,105023870162,10.3174/ajnr.A8896,Both Infarcted and Noninfarcted Brain Regions Contribute to Deep Learning–Based MRI Prediction of Acute Stroke Outcome,2025,2025-12-01,Liu Y.,0,Article,46,12,2521-2527
2-s2.0-105023898002,105023898002,10.3174/ajnr.A8885,Can CTA-Based Machine Learning Identify Patients for Whom Successful Endovascular Stroke Therapy Is Insufficient?,2025,2025-12-01,Jeevarajan J.A.,0,Article,46,12,2500-2506
2-s2.0-105023887200,105023887200,10.3174/ajnr.A8870,Machine Learning–Based Prediction of Delayed Neurologic Sequelae in Carbon Monoxide Poisoning Using Automatically Extracted MR Imaging Features,2025,2025-12-01,Lee G.Y.,0,Article,46,12,2645-2654
2-s2.0-105023888297,105023888297,10.3174/ajnr.A8899,Deep Learning–Based Prediction of PET Amyloid Status Using MRI,2025,2025-12-01,Kim D.,2,Article,46,12,2590-2598
2-s2.0-105023861955,105023861955,10.3174/ajnr.A8857,CT Perfusion Map Generation from Multiphase CTA Using a Generative Adversarial Model for Acute Ischemic Stroke,2025,2025-12-01,Cai Y.,1,Article,46,12,2535-2544
2-s2.0-105023848202,105023848202,10.3174/ajnr.A8910,Photon-Counting Detector CT of the Brain Reduces Variability of Hounsfield Units and Has a Mean Offset Compared with Energy-Integrating Detector CT,2025,2025-12-01,Stein T.,3,Article,46,12,2624-2630
