year,n_papers,total_citations,mean_citations
2017,6,198,33.0
2018,5,1321,264.2
2019,14,870,62.142857142857146
2020,14,621,44.357142857142854
2021,30,1414,47.13333333333333
2022,22,415,18.863636363636363
2023,23,196,8.521739130434783
2024,34,235,6.911764705882353
2025,55,168,3.0545454545454547
2026,26,18,0.6923076923076923
