auid,name,papers,degree_centrality,betweenness
56785222700,Conti A.,1,0.00439453125,0.0
56056542600,Treaba C.A.,1,0.00439453125,0.0
7402222818,Kang K.,1,0.01171875,0.0
8407334400,Park J.-M.,1,0.01171875,0.0
7401801992,Park T.H.,1,0.01171875,0.0
55737448000,Lee K.B.,1,0.01171875,0.0
7402515553,Hong K.-S.,1,0.01171875,0.0
7103208372,Pollock B.E.,1,0.0029296875,0.0
55322750700,Graffeo C.S.,1,0.0029296875,0.0
60373905200,Young P.,1,0.00146484375,0.0
57222279314,Miscioscia A.,1,0.00439453125,0.0
6602755770,Mainero C.,1,0.00439453125,0.0
6602297547,Toschi N.,1,0.00439453125,0.0
57200747538,Klawiter E.C.,1,0.00439453125,0.0
7004896669,Sloane J.A.,1,0.00439453125,0.0
8858398400,Yu K.-H.,1,0.01171875,0.0
57201966362,Lee B.-C.,1,0.01171875,0.0
24483318500,Herranz E.,1,0.00439453125,0.0
37024098700,Barletta V.T.,1,0.00439453125,0.0
60373865300,Garcia G.M.,1,0.00146484375,0.0
6603071657,Roys S.,1,0.00390625,0.0
7005680694,Maier F.,1,0.00390625,0.0
26645747400,Bhat H.,1,0.00390625,0.0
35597433400,Melhem E.R.,1,0.00390625,0.0
6602085456,Gullapalli R.,1,0.00390625,0.0
57209843840,Liu H.,1,0.00390625,0.0
57209843198,Wu Z.,1,0.00390625,0.0
14424258200,Piantino J.,1,0.00390625,0.0
15069180300,Boespflug E.L.,1,0.00390625,0.0
56431982000,Schwartz D.L.,1,0.00390625,0.0
57211939727,Luther M.,1,0.00390625,0.0
55111495300,Morales A.M.,1,0.00390625,0.0
57192665731,Lin A.,1,0.00390625,0.0
57219912513,Fossen R.V.,1,0.00390625,0.0
56517597800,Su P.,1,0.00390625,0.0
55233694100,Aliotta E.,1,0.00341796875,0.0
60285110200,Fu W.,1,0.00341796875,0.0
6701694895,De Ville D.V.,1,0.0029296875,0.0
15842419100,Vulliemoz S.,1,0.0029296875,0.0
6701429799,Gasche Y.,1,0.0029296875,0.0
55830496500,Hofmeister J.,1,0.0029296875,0.0
24402142300,Pugin D.,1,0.0029296875,0.0
24390620000,Andre J.B.,1,0.00244140625,0.0
9736309600,Haller S.,1,0.0029296875,0.0
55892057300,Brosch T.,1,0.00244140625,0.0
12242496200,Zhuo J.,1,0.00390625,0.0
55813764500,Deshpande A.,1,0.001953125,0.0
16180724900,Luby M.,1,0.001953125,0.0
7003471668,Latour L.,1,0.001953125,0.0
9844131300,Tahsili-Fahadan P.,1,0.001953125,0.0
34877202000,Laksari K.,1,0.001953125,0.0
7005301714,Altman C.A.,1,0.00732421875,0.0
57189218857,Hall C.,1,0.00244140625,0.0
55519907800,D'Anna G.,1,0.001953125,0.0
57191749125,McCarty J.,1,0.001953125,0.0
6507672522,Kotsenas A.L.,1,0.001953125,0.0
57199411100,Ernst L.,1,0.00439453125,0.0
57102788800,David B.,1,0.00439453125,0.0
57212368675,Gaubatz J.,1,0.00439453125,0.0
57193502430,Sommer K.,1,0.00244140625,0.0
56018619400,Saalbach A.,1,0.00244140625,0.0
7401943769,Becker A.J.,1,0.00439453125,0.0
57196828749,Weber B.,1,0.00439453125,0.0
6505923786,Hattingen E.,1,0.00439453125,0.0
55945760400,Elger C.E.,1,0.00439453125,0.0
35932629300,Ruber T.,1,0.00439453125,0.0
57213351717,Han W.,1,0.00390625,0.0
56122635100,Mukherjee S.,1,0.00341796875,0.0
57200526376,Guo S.,1,0.00390625,0.0
55697397000,Bay C.,1,0.00390625,0.0
57104272600,Qin L.,1,0.00390625,0.0
57194460219,Babayan D.,1,0.00439453125,0.0
54408049200,Attiah M.,1,0.00439453125,0.0
57194474330,Ahn C.,1,0.00439453125,0.0
37460973900,Beckett J.,1,0.00439453125,0.0
57194467543,Villaroman D.,1,0.00439453125,0.0
7403902583,Patel S.H.,1,0.00341796875,0.0
6603235670,Luchters G.,1,0.00439453125,0.0
57212368837,Dominguez-Narciso I.,1,0.00439453125,0.0
7402900506,Young G.,1,0.00390625,0.0
7405293993,Xu X.,1,0.00390625,0.0
57200419906,Li A.,1,0.00390625,0.0
56912441800,Miskin N.,1,0.00390625,0.0
46961582400,Yu K.-H.,1,0.00390625,0.0
57109667500,Chen X.,1,0.00390625,0.0
36350633000,Gaonkar B.,1,0.00439453125,0.0
35354032000,Aoki S.,1,0.00732421875,0.0
57192913540,Sreekumari A.,1,0.005859375,0.0
55779153600,Shanbhag D.,1,0.005859375,0.0
8420469700,Yeo D.,1,0.005859375,0.0
60089567600,Pawlus K.,1,0.00341796875,0.0
57217092204,Zhang B.,1,0.00341796875,0.0
57205661904,Dogra S.,1,0.00341796875,0.0
57430293700,Wang W.D.,1,0.00341796875,0.0
60372014900,Gianani F.,1,0.005859375,0.0
57454256600,Rizzuti M.,1,0.005859375,0.0
55566705200,Briganti G.,1,0.005859375,0.0
59477052600,Minieri A.,1,0.005859375,0.0
57203646198,Limperopoulos C.,1,0.00537109375,0.0
57200383627,Akrami H.,1,0.00244140625,0.0
35512445400,Leahy R.M.,1,0.00244140625,0.0
55102881700,Krisa L.,1,0.00390625,0.0
7402334623,Kim P.E.,1,0.00244140625,0.0
7003880650,Heck C.N.,1,0.00244140625,0.0
57200984790,Bera K.,1,0.00390625,0.0
57200990440,Correa R.,1,0.00390625,0.0
57219858957,Nicholas P.,1,0.0029296875,0.0
57488912100,Henkin A.,1,0.0029296875,0.0
57488889000,Sin B.,1,0.0029296875,0.0
57488889100,Dyer K.,1,0.0029296875,0.0
7801558698,Sughrue M.E.,1,0.0029296875,0.0
57219845539,Doyen S.,1,0.0029296875,0.0
6508215971,Rettmann D.W.,1,0.00390625,0.0
7403586314,Meyer C.,1,0.00537109375,0.0
57189985400,Ashkezari S.F.S.,1,0.00244140625,0.0
36069300200,Mut F.,1,0.00244140625,0.0
26032372200,Slawski M.,1,0.00244140625,0.0
6603132646,Irimia A.,1,0.00244140625,0.0
52363722000,Kaethner C.,1,0.0029296875,0.0
6603428610,Kowarschik M.,1,0.0029296875,0.0
24483215300,Doerfler A.,1,0.0029296875,0.0
57215694204,Quistorff J.,1,0.00537109375,0.0
57217777210,Lopez C.,1,0.00537109375,0.0
7006925151,Kiefe C.I.,1,0.0029296875,0.0
7401477784,Rosen M.P.,1,0.0029296875,0.0
55730107500,Thompson J.A.,1,0.00390625,0.0
6506234869,Ojemann S.G.,1,0.00390625,0.0
36454940100,Kramer D.R.,1,0.00390625,0.0
57193310800,Samara A.,1,0.00146484375,0.0
58607283000,Li Z.,1,0.00146484375,0.0
13605447000,Hershey T.,1,0.00146484375,0.0
57203411257,Chougar L.,1,0.00732421875,0.0
57211235361,Wada A.,1,0.00732421875,0.0
7006045676,Briganti F.,1,0.005859375,0.0
7003795223,Manganelli F.,1,0.005859375,0.0
59007669800,Sarnataro A.,1,0.005859375,0.0
60371825700,Pappalardo S.,1,0.005859375,0.0
57192556518,Maekawa T.,1,0.00732421875,0.0
56113366500,Koshino S.,1,0.00732421875,0.0
56779715300,Irie R.,1,0.00732421875,0.0
57070787500,Kamagata K.,1,0.00732421875,0.0
57193166107,Takemura M.Y.,1,0.00732421875,0.0
6701689599,Polzin J.,1,0.005859375,0.0
6603590790,Pilitsis J.,1,0.005859375,0.0
7006064556,Foo T.,1,0.005859375,0.0
57188584057,Otsuka Y.,1,0.00732421875,0.0
57188958448,Hagiwara A.,1,0.00732421875,0.0
57204664115,Sichtermann T.,1,0.00244140625,0.0
7003887908,Wiesmann M.,1,0.00244140625,0.0
7201655756,Hattori N.,1,0.00732421875,0.0
18837681800,Patil U.,1,0.005859375,0.0
7003856933,Bammer R.,2,0.00048828125,0.0
8890877600,Amukotuwa S.A.,1,0.00048828125,0.0
57214680095,Montoya J.C.,1,0.00146484375,0.0
57191417451,Leo P.,1,0.00390625,0.0
36899430900,Ahluwalia M.,1,0.00390625,0.0
6603019206,Madabhushi A.,1,0.00390625,0.0
23467860800,Tiwari P.,1,0.00390625,0.0
7404006948,Chung H.,1,0.005859375,0.0
57214728012,Seo H.,1,0.005859375,0.0
57220268949,Bambach S.,1,0.00048828125,0.0
56970415200,Ho M.-L.,1,0.00048828125,0.0
9045221600,Meyer B.C.,1,0.00439453125,0.0
55979106700,Schmeel F.C.,1,0.0029296875,0.0
6602823919,Vatter H.,1,0.0029296875,0.0
6603433108,Dorn F.,1,0.0029296875,0.0
7201478774,Jimenez C.M.,1,0.00244140625,0.0
56582817000,Park S.-H.,1,0.005859375,0.0
56510497300,Kim T.M.,1,0.005859375,0.0
56424318200,Park C.-K.,1,0.005859375,0.0
57215273419,Kim E.,1,0.00390625,0.0
57203506692,Yun T.J.,1,0.005859375,0.0
57205637605,Bykowski J.,1,0.00439453125,0.0
7801375689,Bolar D.S.,1,0.00439453125,0.0
36350332600,Radbruch A.,1,0.0029296875,0.0
54394204700,Santiago-Dieppa D.R.,1,0.00439453125,0.0
55955728500,Pannell J.S.,1,0.00439453125,0.0
58062608300,Paulson D.,1,0.00439453125,0.0
55321166200,Hwang I.,1,0.005859375,0.0
57204308836,Lee J.Y.,1,0.005859375,0.0
23103275100,Meyer D.M.,1,0.00439453125,0.0
57218298033,Figurelle M.E.,1,0.00439453125,0.0
36633050600,Paech D.,1,0.0029296875,0.0
57202094004,Khalessi A.A.,1,0.00439453125,0.0
7403044489,Robertson A.M.,1,0.00244140625,0.0
6701906865,Cebral J.R.,1,0.00244140625,0.0
8986944900,Joshi A.A.,1,0.00244140625,0.0
57222239521,Dadario N.B.,1,0.0029296875,0.0
57204845984,Hori M.,1,0.00732421875,0.0
41562346600,Tachibana Y.,1,0.00732421875,0.0
35312884600,Yokoyama K.,1,0.00732421875,0.0
57188961548,Andica C.,1,0.00732421875,0.0
58242356600,Ensle F.,1,0.00341796875,0.0
57214808296,Zecca F.,1,0.00341796875,0.0
58687632800,Kerber B.,1,0.00341796875,0.0
36172284000,Lohezic M.,1,0.00341796875,0.0
53979911700,Law N.,1,0.0009765625,0.0
56900103300,Smith M.L.,1,0.0009765625,0.0
57210202234,Widjaja E.,1,0.0009765625,0.0
35268956100,Khatua S.,1,0.001953125,0.0
15845224900,Colen R.R.,1,0.001953125,0.0
36486238100,Hein K.Z.,1,0.001953125,0.0
57193007689,Statsevych V.,1,0.00390625,0.0
57217427976,Verma R.,1,0.00390625,0.0
7402672788,Jordan J.E.,3,0.0029296875,0.0
57189713273,De Rubeis G.,1,0.00634765625,0.0
57202614626,Doraiswamy P.M.,1,0.00146484375,0.0
57203000253,Iorga M.,1,0.00244140625,0.0
57220161510,Liu A.J.,1,0.00146484375,0.0
7003708933,Petrella J.R.,1,0.00146484375,0.0
7407504757,Chen G.-H.,1,0.00146484375,0.0
55750641200,Li Y.,1,0.00146484375,0.0
57222864367,Ak M.,1,0.001953125,0.0
7006111995,Parrish T.B.,1,0.00244140625,0.0
7102711302,Katsaggelos A.K.,1,0.00244140625,0.0
7004158366,Drakopoulos M.,1,0.00244140625,0.0
60083958300,Wang L.A.,1,0.00146484375,0.0
57196558268,Branstetter B.F.,1,0.001953125,0.0
35395102700,Wiley C.A.,1,0.001953125,0.0
7103271015,Gupta T.,1,0.00048828125,0.0
56432566600,Southard R.N.,1,0.00244140625,0.0
6506928183,Bardo D.M.E.,1,0.00244140625,0.0
57222114128,Temkit M.H.,1,0.00244140625,0.0
57195619572,Thorkelson M.A.,1,0.00244140625,0.0
57428648600,Sadeghi-Adl Z.,1,0.00390625,0.0
59901590500,Naghizadehkashani S.,1,0.00390625,0.0
55259890400,Middleton D.,1,0.00390625,0.0
57188708054,Coblentz A.,1,0.005859375,0.0
37665148500,Kapadia A.,1,0.005859375,0.0
57205759838,Khinda J.,1,0.005859375,0.0
35448799200,Port J.,1,0.005859375,0.0
6602568486,Hancu I.,1,0.005859375,0.0
56390526200,Schmidt M.,1,0.0029296875,0.0
57202444656,Teichert N.,1,0.00244140625,0.0
54580803000,Freiherr J.,1,0.00244140625,0.0
56041027300,Lee P.,1,0.001953125,0.0
59319765700,Richardson R.M.,1,0.001953125,0.0
15043630800,Becske T.,1,0.0,0.0
55588005200,Burkholder D.B.,1,0.0048828125,0.0
6603504603,Krecke K.N.,1,0.0048828125,0.0
8971750100,Desjardins A.,1,0.00146484375,0.0
7005564366,Vredenburgh J.J.,1,0.00146484375,0.0
36494609000,Guggenberger R.,1,0.00341796875,0.0
6701793079,Stasolla A.,1,0.00634765625,0.0
60371537600,Piccioli C.,1,0.00634765625,0.0
57207828498,Federici M.,1,0.00634765625,0.0
16063046100,Cozzolino V.,1,0.00634765625,0.0
55991720500,Faron A.,1,0.00244140625,0.0
57197769863,Sijben R.,1,0.00244140625,0.0
57222512765,Ramalho L.P.,1,0.00244140625,0.0
8962997000,Franca M.C.,1,0.00244140625,0.0
35324372800,Han M.,1,0.0009765625,0.0
7003615775,Ha E.J.,1,0.0009765625,0.0
57191960254,Park J.H.,1,0.0009765625,0.0
56104872400,Servelhere K.R.,1,0.00244140625,0.0
55846257200,Casseb R.F.,1,0.00244140625,0.0
57191270368,de Lima F.D.,1,0.00244140625,0.0
57205469775,Pennig L.,1,0.00634765625,0.0
36351017300,Shahzad R.,1,0.00634765625,0.0
24473955700,Caldeira L.,1,0.00634765625,0.0
57195717073,Lennartz S.,1,0.00634765625,0.0
57197138262,Thiele F.,1,0.00634765625,0.0
57202376929,Goertz L.,1,0.00634765625,0.0
57200541451,Zopfs D.,1,0.00634765625,0.0
